REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRBIOB01,2020,125.72
REGION1,PWRBIOB01,2021,125.72
REGION1,PWRBIOB01,2022,125.72
REGION1,PWRBIOB01,2023,125.72
REGION1,PWRBIOB01,2024,125.72
REGION1,PWRBIOB01,2025,125.72
REGION1,PWRBIOB01,2026,125.72
REGION1,PWRBIOB01,2027,125.72
REGION1,PWRBIOB01,2028,125.72
REGION1,PWRBIOB01,2029,125.72
REGION1,PWRBIOB01,2030,125.72
REGION1,PWRBIOB01,2031,125.72
REGION1,PWRBIOB01,2032,125.72
REGION1,PWRBIOB01,2033,125.72
REGION1,PWRBIOB01,2034,125.72
REGION1,PWRBIOB01,2035,125.72
REGION1,PWRBIOB01,2036,125.72
REGION1,PWRBIOB01,2037,125.72
REGION1,PWRBIOB01,2038,125.72
REGION1,PWRBIOB01,2039,125.72
REGION1,PWRBIOB01,2040,125.72
REGION1,PWRBIOB01,2041,125.72
REGION1,PWRBIOB01,2042,125.72
REGION1,PWRBIOB01,2043,125.72
REGION1,PWRBIOB01,2044,125.72
REGION1,PWRBIOB01,2045,125.72
REGION1,PWRBIOB01,2046,125.72
REGION1,PWRBIOB01,2047,125.72
REGION1,PWRBIOB01,2048,125.72
REGION1,PWRBIOB01,2049,125.72
REGION1,PWRBIOB01,2050,125.72
REGION1,PWRBIOB02,2020,125.72
REGION1,PWRBIOB02,2021,125.72
REGION1,PWRBIOB02,2022,125.72
REGION1,PWRBIOB02,2023,125.72
REGION1,PWRBIOB02,2024,125.72
REGION1,PWRBIOB02,2025,125.72
REGION1,PWRBIOB02,2026,125.72
REGION1,PWRBIOB02,2027,125.72
REGION1,PWRBIOB02,2028,125.72
REGION1,PWRBIOB02,2029,125.72
REGION1,PWRBIOB02,2030,125.72
REGION1,PWRBIOB02,2031,125.72
REGION1,PWRBIOB02,2032,125.72
REGION1,PWRBIOB02,2033,125.72
REGION1,PWRBIOB02,2034,125.72
REGION1,PWRBIOB02,2035,125.72
REGION1,PWRBIOB02,2036,125.72
REGION1,PWRBIOB02,2037,125.72
REGION1,PWRBIOB02,2038,125.72
REGION1,PWRBIOB02,2039,125.72
REGION1,PWRBIOB02,2040,125.72
REGION1,PWRBIOB02,2041,125.72
REGION1,PWRBIOB02,2042,125.72
REGION1,PWRBIOB02,2043,125.72
REGION1,PWRBIOB02,2044,125.72
REGION1,PWRBIOB02,2045,125.72
REGION1,PWRBIOB02,2046,125.72
REGION1,PWRBIOB02,2047,125.72
REGION1,PWRBIOB02,2048,125.72
REGION1,PWRBIOB02,2049,125.72
REGION1,PWRBIOB02,2050,125.72
REGION1,PWRBIOB03,2020,125.72
REGION1,PWRBIOB03,2021,125.72
REGION1,PWRBIOB03,2022,125.72
REGION1,PWRBIOB03,2023,125.72
REGION1,PWRBIOB03,2024,125.72
REGION1,PWRBIOB03,2025,125.72
REGION1,PWRBIOB03,2026,125.72
REGION1,PWRBIOB03,2027,125.72
REGION1,PWRBIOB03,2028,125.72
REGION1,PWRBIOB03,2029,125.72
REGION1,PWRBIOB03,2030,125.72
REGION1,PWRBIOB03,2031,125.72
REGION1,PWRBIOB03,2032,125.72
REGION1,PWRBIOB03,2033,125.72
REGION1,PWRBIOB03,2034,125.72
REGION1,PWRBIOB03,2035,125.72
REGION1,PWRBIOB03,2036,125.72
REGION1,PWRBIOB03,2037,125.72
REGION1,PWRBIOB03,2038,125.72
REGION1,PWRBIOB03,2039,125.72
REGION1,PWRBIOB03,2040,125.72
REGION1,PWRBIOB03,2041,125.72
REGION1,PWRBIOB03,2042,125.72
REGION1,PWRBIOB03,2043,125.72
REGION1,PWRBIOB03,2044,125.72
REGION1,PWRBIOB03,2045,125.72
REGION1,PWRBIOB03,2046,125.72
REGION1,PWRBIOB03,2047,125.72
REGION1,PWRBIOB03,2048,125.72
REGION1,PWRBIOB03,2049,125.72
REGION1,PWRBIOB03,2050,125.72
REGION1,PWRBIOB04,2020,125.72
REGION1,PWRBIOB04,2021,125.72
REGION1,PWRBIOB04,2022,125.72
REGION1,PWRBIOB04,2023,125.72
REGION1,PWRBIOB04,2024,125.72
REGION1,PWRBIOB04,2025,125.72
REGION1,PWRBIOB04,2026,125.72
REGION1,PWRBIOB04,2027,125.72
REGION1,PWRBIOB04,2028,125.72
REGION1,PWRBIOB04,2029,125.72
REGION1,PWRBIOB04,2030,125.72
REGION1,PWRBIOB04,2031,125.72
REGION1,PWRBIOB04,2032,125.72
REGION1,PWRBIOB04,2033,125.72
REGION1,PWRBIOB04,2034,125.72
REGION1,PWRBIOB04,2035,125.72
REGION1,PWRBIOB04,2036,125.72
REGION1,PWRBIOB04,2037,125.72
REGION1,PWRBIOB04,2038,125.72
REGION1,PWRBIOB04,2039,125.72
REGION1,PWRBIOB04,2040,125.72
REGION1,PWRBIOB04,2041,125.72
REGION1,PWRBIOB04,2042,125.72
REGION1,PWRBIOB04,2043,125.72
REGION1,PWRBIOB04,2044,125.72
REGION1,PWRBIOB04,2045,125.72
REGION1,PWRBIOB04,2046,125.72
REGION1,PWRBIOB04,2047,125.72
REGION1,PWRBIOB04,2048,125.72
REGION1,PWRBIOB04,2049,125.72
REGION1,PWRBIOB04,2050,125.72
REGION1,PWRBIOB05,2020,125.72
REGION1,PWRBIOB05,2021,125.72
REGION1,PWRBIOB05,2022,125.72
REGION1,PWRBIOB05,2023,125.72
REGION1,PWRBIOB05,2024,125.72
REGION1,PWRBIOB05,2025,125.72
REGION1,PWRBIOB05,2026,125.72
REGION1,PWRBIOB05,2027,125.72
REGION1,PWRBIOB05,2028,125.72
REGION1,PWRBIOB05,2029,125.72
REGION1,PWRBIOB05,2030,125.72
REGION1,PWRBIOB05,2031,125.72
REGION1,PWRBIOB05,2032,125.72
REGION1,PWRBIOB05,2033,125.72
REGION1,PWRBIOB05,2034,125.72
REGION1,PWRBIOB05,2035,125.72
REGION1,PWRBIOB05,2036,125.72
REGION1,PWRBIOB05,2037,125.72
REGION1,PWRBIOB05,2038,125.72
REGION1,PWRBIOB05,2039,125.72
REGION1,PWRBIOB05,2040,125.72
REGION1,PWRBIOB05,2041,125.72
REGION1,PWRBIOB05,2042,125.72
REGION1,PWRBIOB05,2043,125.72
REGION1,PWRBIOB05,2044,125.72
REGION1,PWRBIOB05,2045,125.72
REGION1,PWRBIOB05,2046,125.72
REGION1,PWRBIOB05,2047,125.72
REGION1,PWRBIOB05,2048,125.72
REGION1,PWRBIOB05,2049,125.72
REGION1,PWRBIOB05,2050,125.72
REGION1,PWRBIOB06,2020,125.72
REGION1,PWRBIOB06,2021,125.72
REGION1,PWRBIOB06,2022,125.72
REGION1,PWRBIOB06,2023,125.72
REGION1,PWRBIOB06,2024,125.72
REGION1,PWRBIOB06,2025,125.72
REGION1,PWRBIOB06,2026,125.72
REGION1,PWRBIOB06,2027,125.72
REGION1,PWRBIOB06,2028,125.72
REGION1,PWRBIOB06,2029,125.72
REGION1,PWRBIOB06,2030,125.72
REGION1,PWRBIOB06,2031,125.72
REGION1,PWRBIOB06,2032,125.72
REGION1,PWRBIOB06,2033,125.72
REGION1,PWRBIOB06,2034,125.72
REGION1,PWRBIOB06,2035,125.72
REGION1,PWRBIOB06,2036,125.72
REGION1,PWRBIOB06,2037,125.72
REGION1,PWRBIOB06,2038,125.72
REGION1,PWRBIOB06,2039,125.72
REGION1,PWRBIOB06,2040,125.72
