REGION,TECHNOLOGY,VALUE
REGION1,LNDAGRBC1C01,15
REGION1,LNDAGRBC1C02,15
REGION1,LNDAGRBC1C03,15
REGION1,LNDAGRBC1C04,15
REGION1,LNDAGRBC1C05,15
REGION1,LNDAGRBC1C06,15
REGION1,LNDAGRBC1C07,15
REGION1,LNDALFHIBC1,15
REGION1,LNDALFHRBC1,15
REGION1,LNDALFIIBC1,15
REGION1,LNDALFIRBC1,15
REGION1,LNDALFLRBC1,15
REGION1,LNDBARHIBC1,15
REGION1,LNDBARHRBC1,15
REGION1,LNDBARIIBC1,15
REGION1,LNDBARIRBC1,15
REGION1,LNDBARLRBC1,15
REGION1,LNDMAIHIBC1,15
REGION1,LNDMAIHRBC1,15
REGION1,LNDMAIIIBC1,15
REGION1,LNDMAIIRBC1,15
REGION1,LNDMAILRBC1,15
REGION1,LNDOATHIBC1,15
REGION1,LNDOATHRBC1,15
REGION1,LNDOATIIBC1,15
REGION1,LNDOATIRBC1,15
REGION1,LNDOATLRBC1,15
REGION1,LNDOTHHIBC1,15
REGION1,LNDOTHHRBC1,15
REGION1,LNDOTHIIBC1,15
REGION1,LNDOTHIRBC1,15
REGION1,LNDOTHLRBC1,15
REGION1,LNDPEAHIBC1,15
REGION1,LNDPEAHRBC1,15
REGION1,LNDPEAIIBC1,15
REGION1,LNDPEAIRBC1,15
REGION1,LNDPEALRBC1,15
REGION1,LNDPTWHIBC1,15
REGION1,LNDPTWHRBC1,15
REGION1,LNDPTWIIBC1,15
REGION1,LNDPTWIRBC1,15
REGION1,LNDPTWLRBC1,15
REGION1,LNDRAPHIBC1,15
REGION1,LNDRAPHRBC1,15
REGION1,LNDRAPIIBC1,15
REGION1,LNDRAPIRBC1,15
REGION1,LNDRAPLRBC1,15
REGION1,LNDRYEHIBC1,15
REGION1,LNDRYEHRBC1,15
REGION1,LNDRYEIIBC1,15
REGION1,LNDRYEIRBC1,15
REGION1,LNDRYELRBC1,15
REGION1,LNDWHEHIBC1,15
REGION1,LNDWHEHRBC1,15
REGION1,LNDWHEIIBC1,15
REGION1,LNDWHEIRBC1,15
REGION1,LNDWHELRBC1,15
REGION1,MINCOA,100
REGION1,MINCRU,64
REGION1,MINNGS,150
REGION1,MINURN,90
REGION1,PWRBIOB01,40
REGION1,PWRBIOB02,40
REGION1,PWRBIOB03,40
REGION1,PWRBIOB04,40
REGION1,PWRBIOB05,40
REGION1,PWRBIOB06,40
REGION1,PWRGEOB01,40
REGION1,PWRGEOB02,40
REGION1,PWRGEOB03,40
REGION1,PWRHYDB01,60
REGION1,PWRHYDB02,60
REGION1,PWRHYDB03,60
REGION1,PWRHYDB04,60
REGION1,PWRHYDB05,60
REGION1,PWRHYDB06,60
REGION1,PWRHYDB07,60
REGION1,PWRHYDB08,60
REGION1,PWRHYDB09,60
REGION1,PWRHYDB10,60
REGION1,PWRHYDB11,60
REGION1,PWRHYDB12,60
REGION1,PWRHYDB13,60
REGION1,PWRNGSB01,22
REGION1,PWRSOLB01,25
REGION1,PWRURNB01,36
REGION1,PWRWNDB01,25
REGION1,PWRWNDB02,25
REGION1,PWRWNDB03,25
REGION1,PWRWNDB04,25
REGION1,PWRWNDB05,25
REGION1,PWRWNDB06,25
REGION1,PWRWNDB07,25
REGION1,PWRWNDB08,25
REGION1,PWRWNDB09,25
REGION1,PWRWNDB10,25
REGION1,PWRWNDB11,25
